id,title,url,code,update
S100IOBO,株式会社エービーシー・マート 有価証券報告書－第35期(平成31年3月1日－令和2年2月29日),https://disclosure.edinet-fsa.go.jp/api/v1/documents/S100IOBO,E02925,2020-06-01 09:03
S100IPAA,マックスバリュ東海株式会社 有価証券報告書－第58期(平成31年3月1日－令和2年2月29日),https://disclosure.edinet-fsa.go.jp/api/v1/documents/S100IPAA,E03087,2020-06-01 09:05
S100IPOD,株式会社ディー・ディー・エス 訂正有価証券報告書－第24期(平成30年1月1日－平成30年12月31日),https://disclosure.edinet-fsa.go.jp/api/v1/documents/S100IPOD,E02104,2020-06-02 15:10
S100IPOO,株式会社ディー・ディー・エス 訂正有価証券報告書－第25期(平成31年1月1日－令和1年12月31日),https://disclosure.edinet-fsa.go.jp/api/v1/documents/S100IPOO,E02104,2020-06-02 15:21
